patient_id,contact_id,full_name,birthdate,relationship
1,1,Patient 1,1990-01-01,self
2,2,Patient 2,1990-01-01,self
3,3,Patient 3,1990-01-01,self
4,4,Patient 4,1990-01-01,self
5,5,Patient 5,1990-01-01,self
6,6,Patient 6,1990-01-01,self
7,7,Patient 7,1990-01-01,self
8,8,Patient 8,1990-01-01,self
9,9,Patient 9,1990-01-01,self
10,10,Patient 10,1990-01-01,self
11,11,Patient 11,1990-01-01,self
12,12,Patient 12,1990-01-01,self
13,13,Patient 13,1990-01-01,self
14,14,Patient 14,1990-01-01,self
15,15,Patient 15,1990-01-01,self
16,16,Patient 16,1990-01-01,self
17,17,Patient 17,1990-01-01,self
18,18,Patient 18,1990-01-01,self
19,19,Patient 19,1990-01-01,self
20,20,Patient 20,1990-01-01,self
21,21,Patient 21,1990-01-01,self
22,22,Patient 22,1990-01-01,self
23,23,Patient 23,1990-01-01,self
24,24,Patient 24,1990-01-01,self
25,25,Patient 25,1990-01-01,self
26,1,Child 1,2018-06-01,child
27,2,Child 2,2018-06-01,child
28,3,Child 3,2018-06-01,child
29,4,Child 4,2018-06-01,child
30,5,Child 5,2018-06-01,child
31,6,Child 6,2018-06-01,child
32,7,Child 7,2018-06-01,child
33,8,Child 8,2018-06-01,child
34,9,Child 9,2018-06-01,child
35,10,Child 10,2018-06-01,child
